MAINTENANCE YARD,COUNTY,MUNICIPALITY,MAILING ADDRESS,nan,ZIP CODE,YARD PHONE #,CREW SUPERVISOR,ZIP,Full Address,Latitude,Longitude
Branchville,Sussex,Frankford Twp.,349 Route 206,Branchville,07826-4229,,,07826,"349 Route 206, Branchville, NJ 07826",,
Clifton (Storage and Fuel),Passaic,Clifton,1101 Bloomfield Avenue,Clifton,0 7012,,,,,34.220389,70.3800314
Columbia,Warren,Knowlton Twp.,21 Simpson Road,Columbia,07832-2501,,,07832,"21 Simpson Road, Columbia, NJ 07832",40.9330601,-75.1000389
East Rutherford (Salt Storage),Bergen,East Rutherford,"Route 3, M.P. 7.6 (Meadowlands Complex)",East Rutherford,07073,,,07073,"Route 3, M.P. 7.6 (Meadowlands Complex), East Rutherford (Salt Storage), NJ 07073",,
Elizabeth,Union,Elizabeth City,902 - 940 North Avenue East,Elizabeth,07201-2104,,,07201,"902 - 940 North Avenue East, Elizabeth, NJ 07201",,
Elmwood Park Traffic Operations,Bergen,Elmwood Park Borough,670 River Drive,Elmwood Park,07407,,,07407,"670 River Drive, Elmwood Park Traffic Operations, NJ 07407",,
Fort Lee,Bergen,Fort Lee,475 Main Street,Fort Lee,0 7024,,,,,34.220389,70.3800314
Franklin Lakes (Winter Yard),Bergen,Franklin Lakes Borough,I-287 SB  M.P. 61.2,Franklin Lakes,07417,,,07417,"I-287 SB  M.P. 61.2, Franklin Lakes (Winter Yard), NJ 07417",,
Hackettstown,Warren,Washington Twp.,118 Route 46,Hackettstown,07840,,,07840,"118 Route 46, Hackettstown, NJ 07840",,
Hanover,Morris,Hanover Twp.,211 Eden Lane,Whippany,07981,,,07981,"211 Eden Lane, Hanover, NJ 07981",40.815652,-74.4182304
Harding Rest Area,Morris,Harding Twp.,127 Sand Spring Road,Morristown,07960,,,07960,"127 Sand Spring Road, Harding Rest Area, NJ 07960",,
High Point,Sussex,Wantage Twp.,"Route 23 NB, M.P. 48.1",Wantage,07461,,,07461,"Route 23 NB, M.P. 48.1, High Point, NJ 07461",,
Jersey City,Hudson,Jersey City,401 Route 1 & 9 South Truck,Jersey City,07306,,,07306,"401 Route 1 & 9 South Truck, Jersey City, NJ 07306",,
Knowlton Rest Area,Warren,Knowlton Twp.,"Knowlton Tourist Welcome Center Route 80 E, MP 7.2 ",Columbia,07832-2307,,,07832,"Knowlton Tourist Welcome Center Route 80 E, MP 7.2 , Knowlton Rest Area, NJ 07832",,
